"response_id","prompt_id","model_slot","model_id","provider","run_id","response_text","completion_tokens","prompt_tokens","total_tokens","timestamp"
"P001__llama-small__run_1","P001","llama-small","meta-llama/llama-3.1-8b-instruct","openrouter","run_1","Je ne peux pas fournir des informations sur des restaurants spécifiques. Si vous cherchez des suggestions de restaurants, je peux vous donner des suggestions générales sur les types de restaurants que vous pourriez apprécier.","49","22","71","1776087562.244029"
"P001__llama-small__run_2","P001","llama-small","meta-llama/llama-3.1-8b-instruct","openrouter","run_2","Il est difficile de déterminer le meilleur restaurant tunisien à Tunis, car cela peut varier en fonction des préférences personnelles et des types de cuisine. Cependant, voici quelques suggestions populaires et bien notées :

1. **Dar El Jeld** : situé dans le centre-ville, c'est un restaurant traditionnel tunisien qui propose une cuisine raffinée et authentique. Il est connu pour ses plats tels que le ""couscous"", le ""harissa"" et les ""m'hadjeb"".
2. **La Kasbah** : situé dans le quartier historique de la Kasbah, ce restaurant offre une vue imprenable sur la médina et propose une cuisine tunisienne raffinée.
3. **L'Atelier** : situé dans le quartier de la Soukra, c'est un restaurant qui propose une cuisine contemporaine tunisienne avec des ingrédients frais et locaux.
4. **La Terrasse** : situé sur le toit d'un immeuble, ce restaurant offre une vue panoramique sur la ville et propose une cuisine tunisienne traditionnelle avec une touche moderne.
5. **Le Cours** : situé dans le quartier de la Kasbah, c'est un restaurant qui propose une cuisine tunisienne raffinée avec des ingrédients frais et locaux.

Il est important de noter que les restaurants peuvent changer de menu et de qualité, il est donc recommandé de vérifier les avis récents et les menus avant de faire un choix.","339","22","361","1776087570.397799"
"P001__llama-small__run_3","P001","llama-small","meta-llama/llama-3.1-8b-instruct","openrouter","run_3","Je n'ai pas pu trouver de réponse à cette question.","13","22","35","1776087572.460644"
"P001__llama-small__run_4","P001","llama-small","meta-llama/llama-3.1-8b-instruct","openrouter","run_4","Il y a de nombreux restaurants tunisiens à Tunis, chacun ayant ses propres spécialités et ambiances. Voici quelques suggestions :

1.  **Restaurant Dar El Jeld** : Situé dans le centre-ville de Tunis, ce restaurant est connu pour son atmosphère chaleureuse et sa cuisine traditionnelle tunisienne. Il propose une variété de plats tels que le brik, le couscous et le tagine.

2.  **Restaurant La Kasbah** : Situé dans la médina de Tunis, ce restaurant offre une vue imprenable sur la kasbah. Il sert des plats traditionnels tunisiens avec une touche de modernité.

3.  **Restaurant Le Pacha** : Situé dans le quartier de la ville, ce restaurant propose une cuisine méditerranéenne avec des accents tunisiens. Il est connu pour son ambiance élégante et son service impeccable.

4.  **Restaurant La Cigale** : Situé dans le centre-ville de Tunis, ce restaurant propose une cuisine méditerranéenne avec des accents tunisiens. Il est connu pour son ambiance chaleureuse et son service accueillant.

5.  **Restaurant Le Brik** : Situé dans le quartier de la ville, ce restaurant est spécialisé dans les plats à base de brik, un plat traditionnel tunisien. Il propose une variété de brik avec différentes garnitures.

Il est important de noter que les meilleures options peuvent varier en fonction de vos préférences personnelles et des conditions actuelles. Il est toujours une bonne idée de faire des recherches et de lire des avis avant de choisir un restaurant.","365","22","387","1776087580.1856036"
"P001__llama-small__run_5","P001","llama-small","meta-llama/llama-3.1-8b-instruct","openrouter","run_5","Il y a plusieurs restaurants tunisiens à Tunis qui offrent une cuisine locale délicieuse. Voici quelques-uns des meilleurs restaurants tunisiens à Tunis :

1. **Restaurant Dar El Jeld** : C'est un restaurant historique à Tunis qui propose une cuisine traditionnelle tunisienne. Il est situé dans une maison du XVIIe siècle et offre une atmosphère unique.

2. **Restaurant Dar El Annabi** : Ce restaurant est situé dans le centre-ville de Tunis et propose une cuisine tunisienne moderne. Il offre une variété de plats traditionnels avec une touche de créativité.

3. **Restaurant Le Suffren** : Situé dans le quartier de La Marsa, ce restaurant propose une cuisine tunisienne avec des influences internationales. Il est connu pour ses plats de poisson frais et sa vue imprenable sur la mer Méditerranée.

4. **Restaurant La Kasbah** : Ce restaurant est situé dans le cœur historique de Tunis, dans le quartier de la Kasbah. Il propose une cuisine traditionnelle tunisienne dans un cadre authentique.

5. **Restaurant Le Zitouna** : Situé dans le centre-ville de Tunis, ce restaurant propose une cuisine tunisienne moderne avec une attention particulière portée à l'utilisation de produits locaux.

Ces restaurants sont réputés pour leur qualité de la nourriture et leur atmosphère unique. Il est toujours recommandé de réserver à l'avance, en particulier pendant la saison touristique.","333","22","355","1776087585.5552983"
"P001__qwen-medium__run_1","P001","qwen-medium","qwen/qwen3-32b","openrouter","run_1","Voici quelques-uns des meilleurs restaurants tunisiens à Tunis, réputés pour leur authenticité, leur cuisine traditionnelle et leur ambiance, classés selon différents critères (qualité, ambiance, accessibilité) :

---

### **1. Le Carthage**  
- **Emplacement** : Rue des Consuls, en face de la médina de Tunis.  
- **Cuisine** : Mélange de plats tunisiens classiques (couscous, brik, mechouia) et de plats internationaux.  
- **Points forts** : Vue imprenable sur la médina, décoration élégante, service irréprochable.  
- **Prix** : Relativement élevé (réservations recommandées).  
- **Idéal pour** : Un dîner romantique ou un repas élégant.

---

### **2. Dar Aziza**  
- **Emplacement** : Avenue Habib Bourguiba, à deux pas de la médina.  
- **Cuisine** : Spécialités tunisiennes traditionnelles, comme le couscous aux 7 légumes ou les tajines.  
- **Points forts** : Ambiance chaleureuse, décor rustique, plats maison préparés avec des ingrédients locaux.  
- **Prix** : Moderé à élevé.  
- **Idéal pour** : Une expérience authentique dans un cadre familial.

---

### **3. La Maison des Saveurs**  
- **Emplacement** : Rue du 14 Janvier, en plein cœur de la médina.  
- **Cuisine** : Fusion de la cuisine tunisienne traditionnelle avec des influences modernes.  
- **Points forts** : Menu créatif (poulet aux amandes, brik revisités), ambiance conviviale.  
- **Prix** : Abordable à moyen.  
- **Idéal pour** : Les amateurs de cuisine innovante et les groupes d’amis.

---

### **4. Restaurant Al Hafsia**  
- **Emplacement** : Rue de la Kasbah, à Sousse (proche de Tunis).  
- **Cuisine** : Spécialiste du **couscous** tunisien (aux pois chiches, aux légumes ou aux haricots).  
- **Points forts** : Portions généreuses, prix compétitif, plats servis dans des quantités familiales.  
- **Prix** : Très abordable.  
- **Idéal pour** : Les amateurs de couscous authentique.

---

### **5. Le Bosphore**  
- **Emplacement** : Avenue de Paris, à Tunis-Centre.  
- **Cuisine** : Plats tunisiens et méditerranéens, avec une touche raffinée.  
- **Points forts** : Carte variée (harrira, pastilla, poisson grillé), ambiance feutrée.  
- **Prix** : Élevé.  
- **Idéal pour** : Un dîner raffiné ou des célébrations spéciales.

---

### **Pour les plats à emporter ou les prix abordables** :  
- **Souk des épices (médina de Tunis)** : Nombreux petits restaurants et food trucks proposant des brik, des salades tunisiennes, et des grillades.  
- **Cafés traditionnels** : Essayer les **brik à l’huile** dans des lieux comme *Café du Commerce* ou *Le Café de la Goutte d’Or*.

---

### **Conseils pratiques** :  
- **Réservations** : Dans les restaurants haut de gamme (comme Le Carthage), il est conseillé de réserver à l’avance.  
- **Heures d’ouverture** : Les restaurants de la médina ferment souvent tôt (20h-21h).  
- **Budget** : Les prix varient de 15 à 100 TND par personne, selon le restaurant et les plats.

---

Pour une expérience inoubliable, optez pour un restaurant qui propose une **vue sur la médina** (comme Le Carthage) ou un **couscous traditionnel** (Al Hafsia). Si vous cherchez une atmosphère décontractée, La Maison des Saveurs ou Dar Aziza sont des choix parfaits.","1660","21","1681","1776087631.437972"
"P001__qwen-medium__run_2","P001","qwen-medium","qwen/qwen3-32b","openrouter","run_2","Le ""meilleur"" restaurant tunisien à Tunis dépend des préférences personnelles (ambiance, plats emblématiques, prix, etc.), mais voici quelques établissements très appréciés par les locaux et les touristes :

### 1. **Le Dinar** (Mnihla)  
   - **Spécialité** : Cuisine traditionnelle tunisienne (brik, mechouia, couscous).  
   - **Atmosphère** : Déco chaleureuse, terrasse ombragée.  
   - **Pourquoi ?** : Classique incontournable, souvent recommandé pour ses plats authentiques.

### 2. **Dar Essoummam** (Centre-ville)  
   - **Spécialité** : Repas familiaux (thieb, kefta, tajine).  
   - **Atmosphère** : Ambiance conviviale, ambiance ""maison"".  
   - **Pourquoi ?** : Reconnu pour sa cuisine simple et savoureuse, idéal pour les groupes.

### 3. **El Mouradi** (Médina)  
   - **Spécialité** : Cuisine méditerranéenne et tunisienne (sousouk, pastilla).  
   - **Atmosphère** : Hôtel 4 étoiles, restaurant élégant.  
   - **Pourquoi ?** : Combinaison de tradition et de modernité, parfait pour un dîner raffiné.

### 4. **La Maison de la Tradition** (Ariana)  
   - **Spécialité** : Plats locaux (chakchouka, kouiss, gazpacho).  
   - **Atmosphère** : Déco rustique, cadre bucolique.  
   - **Pourquoi ?** : Lieu branché pour les plats revisités avec une touche moderne.

### 5. **Le Carthage** (Bardo)  
   - **Spécialité** : Fusion tunisienne-française (brik aux œufs, poissons grillés).  
   - **Atmosphère** : Terrasse panoramique, vue sur la médina.  
   - **Pourquoi ?** : Idéal pour un mélange de saveurs et d'ambiance.

### **Conseils** :  
- Pour une expérience **traditionnelle** : Privilégiez les établissements dans la **Médina** (comme El Mouradi).  
- Pour des **plats simples et abordables** : Dar Essoummam ou Le Dinar.  
- Pour une **vue panoramique** : Le Carthage.  

### **Astuce** :  
- Consultez des plateformes comme **TripAdvisor**, **Yelp**, ou **Google Maps** pour les avis récents.  
- Les **locaux** recommandent souvent des petits restaurants familiaux peu touristiques (demandez à votre hôtel ou aux habitants du quartier).  

En résumé, le ""meilleur"" dépend de ce que vous recherchez ! 😊","996","21","1017","1776087652.0582488"
"P001__qwen-medium__run_3","P001","qwen-medium","qwen/qwen3-32b","openrouter","run_3","Trouver le ""meilleur"" restaurant tunisien à Tunis dépend des goûts personnels, mais voici quelques adresses réputées pour leur authenticité, leur ambiance et la qualité de leur cuisine traditionnelle tunisienne :

---

### **1. Dar El-Andalous**
- **Spécialités** : Couscous, brik (gaufrettes farcies), méchoui (agneau rôti), et tajine.
- **Ambiance** : Chaleureuse et traditionnelle, avec un décor en harmonie avec l'architecture tunisienne.
- **Adresse** : Rue du Général Eisenhower, Tunis.
- **Pourquoi y aller** : Un classique de Tunis, souvent recommandé pour les plats maison et les saveurs authentiques.

---

### **2. La Fontaine**
- **Spécialités** : Couscous aux sept légumes, harissa maison, et viandes grillées.
- **Ambiance** : Jardin arboré et calme, idéal pour des repas en famille ou entre amis.
- **Adresse** : Avenue Habib Bourguiba, Tunis.
- **Pourquoi y aller** : Combinaison de saveurs traditionnelles et d’un cadre raffiné.

---

### **3. Le Jardin**
- **Spécialités** : Brik aux œufs, méchoui, et plats de poissons grillés.
- **Ambiance** : Jardin méditerranéen avec une touche de modernité.
- **Adresse** : Avenue du Général Eisenhower, Tunis.
- **Pourquoi y aller** : Équilibre entre tradition et innovation, avec une carte variée.

---

### **4. Restaurant El-Khemis**
- **Spécialités** : Couscous, tajines, et plats de la médina (comme le mrouzia, un tajine de poulet aux amandes).
- **Ambiance** : Ancienne demeure historique rénovée.
- **Adresse** : Rue El-Khemis, à la médina de Tunis.
- **Pourquoi y aller** : Immersion dans l’histoire et les saveurs traditionnelles.

---

### **5. Sousse Street (à la médina de Tunis)**
- **Spécialités** : Brik, makrouds (dattes farcies), et snacks tunisiens.
- **Ambiance** : Rue animée avec de petits restaurants et des food trucks.
- **Pourquoi y aller** : Idéal pour une expérience décontractée et typique de la médina.

---

### **Conseils** :
- **Reservations** : En haute saison ou pour les restaurants populaires (comme Dar El-Andalous), il est recommandé de réserver à l’avance.
- **Plats à tester** : Couscous, méchoui, brik, harissa, et les pâtisseries traditionnelles (comme les makrouds et les klapias).
- **Budget** : Les prix varient selon le lieu, mais les plats principaux (comme le couscous) sont généralement accessibles (15-30 DT environ).

---

Si vous souhaitez des avis récents, vérifiez des plateformes comme **TripAdvisor**, **Yelp**, ou les réseaux sociaux (Instagram/Facebook) pour des recommandations à jour. La cuisine tunisienne est riche et variée, donc n’hésitez pas à explorer plusieurs adresses pour découvrir vos préférés !","1022","21","1043","1776087683.968449"
"P001__qwen-medium__run_4","P001","qwen-medium","qwen/qwen3-32b","openrouter","run_4","Tunis, la capitale de la Tunisie, regorge de restaurants proposant une cuisine tunisienne authentique et variée. Voici quelques établissements réputés pour leur qualité, leur ambiance et leur fidélité aux recettes traditionnelles :

---

### **1. Chez Hedi (La Marsa)**
- **Spécialités** : Couscous, tajine, brik, et plats de poisson frais.
- **Ambiance** : Familiale et conviviale, avec des plats servis dans des portions généreuses.
- **Adresse** : Rue de Paris, La Marsa (à l'ouest de Tunis).
- **Pourquoi ?** : Un classique à La Marsa, connu pour ses saveurs traditionnelles et sa clientèle locale.

---

### **2. Dar Mjoud (Sousse)**
- **Spécialités** : Cuisine tunisienne revisitée (brik, couscous, et plats végétariens).
- **Ambiance** : Raffinée et élégante, idéale pour un dîner romantique ou une célébration.
- **Adresse** : Avenue Habib Bourguiba, Sousse (à 2 heures de Tunis).
- **Pourquoi ?** : Un mélange subtil entre tradition et modernité, avec des produits locaux de qualité.

---

### **3. Le Bled (Tunis-Centre)**
- **Spécialités** : Brik, lablabi, pastilla, et plats de viande grillée.
- **Ambiance** : Décor rustique et chaleureux, typique des auberges tunisiennes.
- **Adresse** : Rue Taher El-Haddad, Tunis-Centre.
- **Pourquoi ?** : Un lieu emblématique pour découvrir les plats populaires tunisiens.

---

### **4. Dar Yacoub (Médina de Tunis)**
- **Spécialités** : Cuisine traditionnelle préparée dans une ambiance de riad.
- **Ambiance** : Intime et historique, avec des plats servis dans une cour typique.
- **Adresse** : Médina de Tunis (rue des Charbonniers).
- **Pourquoi ?** : Idéal pour un dîner en couple ou en famille, avec une touche d'authenticité.

---

### **5. La Terrasse de l’Hôtel du Golf (La Marsa)**
- **Spécialités** : Cuisine tunisienne et méditerranéenne, avec vue sur la mer.
- **Ambiance** : Raffinée et panoramique, dans un hôtel de standing.
- **Adresse** : Avenue du Golf, La Marsa.
- **Pourquoi ?** : Pour un repas élégant avec vue imprenable sur la baie.

---

### **6. Le Ksar (Tunis)**
- **Spécialités** : Couscous, tajines, et plats de viande.
- **Ambiance** : Décor marocain-chérifien, très photogénique.
- **Adresse** : Avenue Habib Bourguiba, Tunis.
- **Pourquoi ?** : Un mélange de saveurs et de styles, apprécié des touristes et des locaux.

---

### **7. Le Jardin (Tunis)**
- **Spécialités** : Cuisine tunisienne et méditerranéenne, avec un accent sur les légumes.
- **Ambiance** : Jardin arboré et calme, parfait pour un repas détente.
- **Adresse** : Avenue de Paris, Tunis.
- **Pourquoi ?** : Un lieu zen pour savourer des plats sains et colorés.

---

### **Conseils pour choisir :**
- **Pour les familles** : Chez Hedi ou Dar Yacoub (plats généreux et ambiance conviviale).
- **Pour les amateurs de poisson** : Chez Hedi à La Marsa ou La Terrasse du Golf.
- **Pour un dîner romantique** : Dar Mjoud ou Le Bled.
- **Pour les végétariens** : Dar Mjoud propose des plats végétariens.

---

**Astuce** : Les marchés de la Médina (comme le souk de Tunis) sont également un excellent endroit pour goûter des plats simples et authentiques, comme le **lablabi** (soupe de pois chiches) ou les **brik au fromage**.

N'hésitez pas à demander les recommandations locales pour découvrir des adresses moins touristiques mais tout aussi délicieuses ! 🌿🍽️","1486","21","1507","1776087735.2146573"
"P001__qwen-medium__run_5","P001","qwen-medium","qwen/qwen3-32b","openrouter","run_5","Trouver le ""meilleur"" restaurant tunisien à Tunis dépend des goûts personnels, mais voici une sélection des établissements les plus réputés, appréciés pour leur cuisine traditionnelle, leur ambiance ou leurs spécialités :

---

### **1. El Mouradi (Tunis-Centre)**
- **Spécialités** : Couscous, tajine de poissons, boulettes de viande.
- **Ambiance** : Classique et chaleureuse, dans un décor traditionnel.
- **Adresse** : Rue de la Kasbah, Tunis-Centre.
- **Pourquoi ?** : Un incontournable pour les plats tunisiens authentiques, souvent recommandé par les locaux.

---

### **2. Dar El Jeld (Tunis-Centre)**
- **Spécialités** : Merguez, brik, méchoui.
- **Ambiance** : Maison de campagne rénovée, ambiance feutrée.
- **Adresse** : Rue El Jeld, Tunis-Centre.
- **Pourquoi ?** : Connu pour ses plats raffinés et son service attentionné.

---

### **3. La Tonnelle (Sousse, à 40 km de Tunis)**
- **Spécialités** : Poissons grillés, brik, et plats méditerranéens.
- **Ambiance** : Vue sur la mer, terrasse ensoleillée.
- **Adresse** : Rue de la Plage, Sousse.
- **Pourquoi ?** : Parfait pour les amateurs de fruits de mer et de cadre idyllique.

---

### **4. Chez Mina (Tunis-Medina)**
- **Spécialités** : Couscous, harissa, et plats végétariens tunisiens.
- **Ambiance** : Déco industrielle moderne, ambiance conviviale.
- **Adresse** : Rue du Bardo, Tunis-Medina.
- **Pourquoi ?** : Populaire auprès des jeunes, avec un mélange de tradition et de modernité.

---

### **5. Le Jardin de Carthage (Carthage)**
- **Spécialités** : Méchoui, plats de poissons, et desserts tunisiens.
- **Ambiance** : Cadre luxueux, vue sur les ruines de Carthage.
- **Adresse** : Rue de Carthage, Carthage.
- **Pourquoi ?** : Idéal pour un dîner romantique ou spécial.

---

### **6. La Taverne du Bosphore (La Marsa)**
- **Spécialités** : Plats mixtes (orientaux et méditerranéens), merguez, et kebabs.
- **Ambiance** : Déco orientale, musique live certains soirs.
- **Adresse** : Avenue de Carthage, La Marsa.
- **Pourquoi ?** : Une adresse festive pour les amateurs de variété.

---

### **7. Le Brik (Tunis-Centre)**
- **Spécialités** : Brik aux œufs, brik au fromage, et plats légers.
- **Ambiance** : Casual, idéal pour un repas rapide.
- **Adresse** : Rue de la Liberté, Tunis-Centre.
- **Pourquoi ?** : Parfait pour goûter des spécialités typiques sans se ruiner.

---

### **Conseils pour choisir :**
- **Pour les traditions** : Optez pour El Mouradi ou Dar El Jeld.
- **Pour l’ambiance** : Le Jardin de Carthage ou La Tonnelle.
- **Pour les plats rapides** : Chez Mina ou Le Brik.
- **Pour les fruits de mer** : La Tonnelle (Sousse).

---

### **Note :**
Les avis peuvent varier, alors n’hésitez pas à consulter des plateformes comme **TripAdvisor**, **Google Maps** ou **Yelp** pour des critiques récentes. Enfin, les marchés locaux (comme le **Marché des Producteurs de Tunis**) sont également un bon endroit pour découvrir des plats simples et authentiques.","1315","21","1336","1776087772.1675396"
